timestamp,emotion,final_engagement,focus_score,emotion_score
2025-10-27 20:32:12,angry,81.5,74.08,43.31
2025-10-27 20:32:14,angry,78.69,64.65,66.34
2025-10-27 20:32:16,angry,64.09,32.6,63.21
2025-10-27 20:32:18,angry,72.84,92.62,73.42
2025-10-27 20:32:20,angry,82.71,32.01,68.81
2025-10-27 20:32:22,angry,46.26,43.86,88.43
2025-10-27 20:32:24,angry,68.12,63.32,43.61
2025-10-27 20:32:26,angry,72.35,67.09,61.87
2025-10-27 20:32:28,angry,78.86,38.89,41.02
2025-10-27 20:32:30,angry,93.34,48.2,88.83
2025-10-27 20:32:32,angry,40.63,61.11,80.03
2025-10-27 20:32:34,angry,52.66,99.75,62.24
2025-10-27 20:32:36,angry,56.95,61.89,51.09
2025-10-27 20:32:38,angry,55.6,84.85,81.29
2025-10-27 20:32:40,angry,73.46,35.51,77.9
2025-10-27 20:32:42,angry,61.26,93.13,83.56
2025-10-27 20:32:44,angry,68.41,60.38,53.72
2025-10-27 20:32:46,angry,59.21,66.01,73.8
2025-10-27 20:32:48,angry,63.06,98.27,43.34
2025-10-27 20:32:50,angry,49.2,88.46,69.99
2025-10-27 20:32:52,angry,54.6,51.09,53.31
2025-10-27 20:32:54,angry,71.39,83.28,81.52
2025-10-27 20:32:56,angry,70.35,98.69,52.38
2025-10-27 20:32:58,angry,83.51,44.96,43.48
2025-10-27 20:33:00,angry,58.18,99.88,74.98
2025-10-27 20:33:02,angry,90.83,33.16,71.84
2025-10-27 20:33:04,angry,42.1,31.7,86.51
2025-10-27 20:33:06,angry,63.01,89.3,86.18
2025-10-27 20:33:08,angry,79.89,50.59,73.08
2025-10-27 20:33:10,angry,68.37,55.63,50.93
2025-10-27 20:33:12,angry,40.02,96.32,76.23
2025-10-27 20:33:14,angry,77.98,81.17,61.67
2025-10-27 20:33:16,angry,85.42,34.79,59.42
2025-10-27 20:33:18,angry,42.07,32.99,83.51
2025-10-27 20:33:20,angry,86.75,50.22,63.17
2025-10-27 20:33:22,angry,40.39,64.97,44.29
2025-10-27 20:33:24,angry,52.07,30.9,72.0
2025-10-27 20:33:26,angry,84.52,80.45,54.48
2025-10-27 20:33:28,angry,43.06,30.23,58.5
2025-10-27 20:33:30,angry,87.15,62.71,84.08
2025-10-27 20:33:32,angry,55.15,94.21,84.94
2025-10-27 20:33:34,angry,62.06,63.9,73.27
2025-10-27 20:33:36,angry,57.4,32.24,43.74
2025-10-27 20:33:38,angry,65.89,43.98,63.59
2025-10-27 20:33:40,angry,58.05,73.38,60.54
2025-10-27 20:33:42,angry,67.81,74.46,76.24
2025-10-27 20:33:44,angry,61.7,56.27,60.57
2025-10-27 20:33:46,angry,79.77,94.65,59.84
2025-10-27 20:33:48,angry,71.46,49.67,76.05
2025-10-27 20:33:50,angry,78.27,42.44,60.87
2025-10-27 20:33:52,angry,43.59,40.19,65.09
2025-10-27 20:33:54,angry,42.42,68.94,45.39
2025-10-27 20:33:56,angry,88.26,39.27,75.44
2025-10-27 20:33:58,angry,70.57,98.13,80.62
2025-10-27 20:34:00,angry,42.44,87.44,61.07
2025-10-27 20:34:02,angry,74.96,33.72,57.75
2025-10-27 20:34:04,angry,50.21,97.34,75.92
2025-10-27 20:34:06,angry,80.98,33.31,75.04
2025-10-27 20:34:08,angry,73.52,55.69,44.41
2025-10-27 20:34:10,angry,50.42,30.01,63.05
2025-10-27 20:34:12,angry,90.76,39.71,81.24
2025-10-27 20:34:14,angry,44.31,64.68,55.76
2025-10-27 20:34:16,angry,46.1,89.08,79.57
2025-10-27 20:34:18,angry,82.67,59.25,44.9
2025-10-27 20:34:20,angry,41.96,35.12,82.21
2025-10-27 20:34:22,angry,89.04,77.14,54.03
2025-10-27 20:34:24,angry,82.79,46.61,42.67
2025-10-27 20:34:26,angry,65.2,82.33,43.73
2025-10-27 20:34:28,angry,70.07,65.62,52.81
2025-10-27 20:34:30,angry,59.21,59.33,50.22
2025-10-27 20:34:32,angry,76.49,47.4,82.48
2025-10-27 20:34:34,angry,63.74,50.13,55.8
2025-10-27 20:34:36,angry,59.06,79.14,66.03
2025-10-27 20:34:38,angry,51.84,94.32,86.18
2025-10-27 20:34:40,angry,40.43,50.66,58.0
2025-10-27 20:34:42,angry,76.66,96.09,69.1
2025-10-27 20:34:44,angry,86.94,49.79,84.59
2025-10-27 20:34:46,angry,82.99,61.55,68.9
2025-10-27 20:34:48,angry,61.74,47.7,58.01
2025-10-27 20:34:50,angry,73.75,63.82,72.33
2025-10-27 20:34:52,angry,52.43,32.81,61.68
2025-10-27 20:34:54,angry,45.7,43.96,78.46
2025-10-27 20:34:56,angry,44.75,63.98,88.16
2025-10-27 20:34:58,angry,77.35,59.28,47.72
2025-10-27 20:35:00,angry,76.85,30.1,81.52
2025-10-27 20:35:02,angry,52.29,33.2,83.06
2025-10-27 20:35:04,angry,67.11,52.6,57.4
2025-10-27 20:35:06,angry,55.92,56.39,79.06
2025-10-27 20:35:08,angry,71.08,63.75,51.94
2025-10-27 20:35:10,angry,63.61,34.22,88.33
2025-10-27 20:35:12,angry,76.65,45.14,70.41
2025-10-27 20:35:14,angry,45.32,57.15,66.39
2025-10-27 20:35:16,angry,46.64,42.97,73.91
2025-10-27 20:35:18,angry,44.26,45.61,64.73
2025-10-27 20:35:20,angry,56.54,80.7,58.58
2025-10-27 20:35:22,angry,85.4,88.8,49.84
2025-10-27 20:35:24,angry,66.12,69.8,72.7
2025-10-27 20:35:26,angry,71.23,76.83,74.92
2025-10-27 20:35:28,angry,42.51,91.29,40.32
2025-10-27 20:35:30,angry,60.56,90.77,75.42
2025-10-27 20:35:32,angry,68.31,95.47,83.25
2025-10-27 20:35:34,angry,63.51,80.7,76.18
2025-10-27 20:35:36,angry,64.2,62.03,89.53
2025-10-27 20:35:38,angry,61.41,53.69,65.6
2025-10-27 20:35:40,angry,74.18,95.28,77.37
2025-10-27 20:35:42,angry,69.25,46.34,71.69
2025-10-27 20:35:44,angry,87.04,75.14,63.14
2025-10-27 20:35:46,angry,73.65,77.33,53.95
2025-10-27 20:35:48,angry,74.35,68.08,84.04
2025-10-27 20:35:50,angry,75.68,49.23,60.25
2025-10-27 20:35:52,angry,72.99,67.51,87.64
2025-10-27 20:35:54,angry,77.1,86.96,66.0
2025-10-27 20:35:56,angry,83.12,90.0,69.76
2025-10-27 20:35:58,angry,77.4,88.29,40.84
2025-10-27 20:36:00,angry,46.33,66.17,65.77
2025-10-27 20:36:02,angry,40.75,37.0,68.22
2025-10-27 20:36:04,angry,56.69,85.53,76.25
2025-10-27 20:36:06,angry,53.15,99.84,43.34
2025-10-27 20:36:08,angry,58.62,41.65,81.01
2025-10-27 20:36:10,angry,55.65,67.62,82.25
2025-10-27 20:36:12,angry,55.87,75.93,84.51
2025-10-27 20:36:14,angry,82.59,37.3,62.61
2025-10-27 20:36:16,angry,81.05,73.16,53.65
2025-10-27 20:36:18,angry,67.07,72.01,59.59
2025-10-27 20:36:20,angry,63.39,35.07,54.35
2025-10-27 20:36:22,angry,69.35,80.19,72.86
2025-10-27 20:36:24,angry,68.88,84.29,79.09
2025-10-27 20:36:26,angry,46.07,81.95,77.83
2025-10-27 20:36:28,angry,83.98,84.84,74.17
2025-10-27 20:36:30,angry,42.45,49.5,79.73
2025-10-27 20:36:32,angry,43.41,76.0,57.7
2025-10-27 20:36:34,angry,69.22,61.15,75.79
2025-10-27 20:36:36,angry,74.71,30.1,73.04
2025-10-27 20:36:38,angry,52.82,82.09,62.01
2025-10-27 20:36:40,angry,72.48,64.07,73.02
2025-10-27 20:36:42,angry,85.7,66.68,86.02
2025-10-27 20:36:44,angry,40.28,50.1,69.42
2025-10-27 20:36:46,angry,62.18,34.18,81.67
2025-10-27 20:36:48,angry,62.24,43.03,79.54
2025-10-27 20:36:50,angry,69.75,69.53,48.69
2025-10-27 20:36:52,angry,82.72,38.11,81.45
2025-10-27 20:36:54,angry,51.42,65.24,60.19
2025-10-27 20:36:56,angry,90.84,77.28,59.32
2025-10-27 20:36:58,angry,45.83,75.2,65.86
2025-10-27 20:37:00,angry,91.97,86.16,76.7
2025-10-27 20:37:02,angry,61.18,82.8,56.49
2025-10-27 20:37:04,angry,67.83,93.23,69.7
2025-10-27 20:37:06,angry,93.67,80.59,74.43
2025-10-27 20:37:08,angry,87.63,86.77,63.86
2025-10-27 20:37:10,angry,52.19,55.27,41.08
2025-10-27 20:37:12,angry,63.99,78.24,50.5
2025-10-27 20:37:14,angry,91.44,70.31,70.53
2025-10-27 20:37:16,angry,83.9,40.67,80.26
2025-10-27 20:37:18,angry,73.79,67.44,42.38
2025-10-27 20:37:20,angry,86.66,54.19,85.03
2025-10-27 20:37:22,angry,41.24,61.58,43.98
2025-10-27 20:37:24,angry,93.99,55.09,41.48
2025-10-27 20:37:26,angry,91.39,85.44,66.71
2025-10-27 20:37:28,angry,40.75,75.58,76.05
2025-10-27 20:37:30,angry,58.79,72.71,44.82
2025-10-27 20:37:32,angry,78.33,81.7,45.98
2025-10-27 20:37:34,angry,82.66,34.98,87.59
2025-10-27 20:37:36,angry,86.43,39.91,77.43
2025-10-27 20:37:38,angry,66.29,43.99,59.56
2025-10-27 20:37:40,angry,88.65,51.41,79.28
2025-10-27 20:37:42,angry,56.01,51.77,83.93
2025-10-27 20:37:44,angry,44.2,67.27,64.56
2025-10-27 20:37:46,angry,88.1,95.98,80.69
2025-10-27 20:37:48,angry,67.68,84.22,72.01
2025-10-27 20:37:50,angry,94.42,31.68,79.26
2025-10-27 20:37:52,angry,89.94,93.28,53.8
2025-10-27 20:37:54,angry,86.46,71.65,78.45
2025-10-27 20:37:56,angry,61.96,34.74,48.49
2025-10-27 20:37:58,angry,90.56,85.24,74.85
2025-10-27 20:38:00,angry,54.12,89.33,75.45
2025-10-27 20:38:02,angry,53.97,74.79,43.72
2025-10-27 20:38:04,angry,49.23,37.66,71.33
2025-10-27 20:38:06,angry,92.72,82.23,56.59
2025-10-27 20:38:08,angry,41.67,92.35,85.03
2025-10-27 20:38:10,angry,60.52,45.79,82.54
2025-10-27 20:38:12,angry,68.91,64.35,48.42
2025-10-27 20:38:14,angry,89.83,61.65,74.01
2025-10-27 20:38:16,angry,74.5,83.52,49.66
2025-10-27 20:38:18,angry,46.18,97.71,62.79
2025-10-27 20:38:20,angry,84.23,79.27,87.23
2025-10-27 20:38:22,angry,59.99,89.0,83.61
2025-10-27 20:38:24,angry,73.24,46.15,83.12
2025-10-27 20:38:26,angry,73.63,41.67,56.89
2025-10-27 20:38:28,angry,51.9,56.85,40.23
2025-10-27 20:38:30,angry,72.17,42.38,65.78
2025-10-27 20:38:32,angry,48.79,30.02,56.67
2025-10-27 20:38:34,angry,59.5,31.72,68.02
2025-10-27 20:38:36,angry,49.59,39.5,52.57
2025-10-27 20:38:38,angry,73.93,36.17,59.74
2025-10-27 20:38:40,angry,70.07,91.28,63.75
2025-10-27 20:38:42,angry,43.36,32.21,59.49
2025-10-27 20:38:44,angry,88.91,65.37,83.59
2025-10-27 20:38:46,angry,47.5,60.24,81.39
2025-10-27 20:38:48,angry,92.55,44.57,45.5
2025-10-27 20:38:50,angry,48.46,61.37,80.01
2025-10-27 20:38:52,angry,85.22,59.71,65.49
2025-10-27 20:38:54,angry,63.76,57.0,83.38
2025-10-27 20:38:56,angry,59.6,47.56,79.4
2025-10-27 20:38:58,angry,67.37,74.14,47.6
2025-10-27 20:39:00,angry,74.69,83.41,73.29
2025-10-27 20:39:02,angry,55.67,75.44,74.34
2025-10-27 20:39:04,angry,48.72,82.82,78.6
2025-10-27 20:39:06,angry,90.44,49.19,57.3
2025-10-27 20:39:08,angry,74.38,72.83,83.94
2025-10-27 20:39:10,angry,78.38,77.53,45.84
2025-10-27 20:39:12,angry,63.75,65.53,47.71
2025-10-27 20:39:14,angry,82.57,66.57,66.89
2025-10-27 20:39:16,angry,47.54,69.62,68.6
2025-10-27 20:39:18,angry,63.46,95.08,67.46
2025-10-27 20:39:20,angry,41.84,99.6,63.17
2025-10-27 20:39:22,angry,61.79,58.72,41.63
2025-10-27 20:39:24,angry,94.03,59.65,55.19
2025-10-27 20:39:26,angry,63.04,91.2,58.76
2025-10-27 20:39:28,angry,55.16,37.24,40.05
2025-10-27 20:39:30,angry,67.41,96.13,59.37
2025-10-27 20:39:32,angry,41.35,37.2,89.89
2025-10-27 20:39:34,angry,93.29,74.23,47.4
2025-10-27 20:39:36,angry,54.54,39.87,89.54
2025-10-27 20:39:38,angry,87.82,78.08,83.28
2025-10-27 20:39:40,angry,93.71,77.55,72.57
2025-10-27 20:39:42,angry,57.54,56.06,57.6
2025-10-27 20:39:44,angry,42.15,94.89,64.26
2025-10-27 20:39:46,angry,56.8,73.9,81.87
2025-10-27 20:39:48,angry,79.79,55.07,44.84
2025-10-27 20:39:50,angry,61.94,60.37,50.9
2025-10-27 20:39:52,angry,74.71,76.7,82.07
2025-10-27 20:39:54,angry,79.63,84.48,89.17
2025-10-27 20:39:56,angry,72.68,32.58,42.81
2025-10-27 20:39:58,angry,77.14,64.59,46.83
2025-10-27 20:40:00,angry,83.13,66.25,53.24
2025-10-27 20:40:02,angry,67.48,30.5,62.62
2025-10-27 20:40:04,angry,59.92,71.85,85.09
