timestamp,emotion,emotion_score,focus_score,final_engagement
21:28:18,neutral,70,20,45
21:28:18,surprise,85,21,53
21:28:18,neutral,70,21,45
21:28:18,neutral,70,21,45
21:28:18,neutral,70,21,45
21:28:19,neutral,70,21,45
21:28:19,neutral,70,21,45
21:28:19,neutral,70,21,45
21:28:19,neutral,70,21,45
21:28:19,neutral,70,21,45
21:28:19,neutral,70,21,45
21:28:19,neutral,70,21,45
21:28:19,neutral,70,21,45
21:28:19,neutral,70,21,45
21:28:20,surprise,85,20,52
21:28:20,surprise,85,20,52
21:28:20,neutral,70,20,45
21:28:20,neutral,70,21,45
21:28:20,fear,25,21,23
21:28:20,surprise,85,21,53
21:28:20,neutral,70,21,45
21:28:20,neutral,70,21,45
21:28:21,neutral,70,22,46
21:28:21,fear,25,22,23
21:28:21,fear,25,22,23
21:28:21,neutral,70,22,46
21:28:21,neutral,70,23,46
21:28:21,neutral,70,23,46
21:28:21,neutral,70,23,46
21:28:21,neutral,70,27,48
21:28:21,neutral,70,27,48
21:28:21,neutral,70,30,50
21:28:22,neutral,70,30,50
21:28:22,neutral,70,31,50
21:28:22,neutral,70,33,51
21:28:22,neutral,70,39,54
21:28:22,neutral,70,39,54
21:28:22,neutral,70,48,59
21:28:22,neutral,70,49,59
21:28:22,neutral,70,63,66
21:28:22,neutral,70,63,66
21:28:22,neutral,70,72,71
21:28:22,neutral,70,78,74
21:28:22,angry,30,79,54
21:28:23,angry,30,78,54
21:28:23,neutral,70,50,60
21:28:23,neutral,70,50,60
21:28:23,neutral,70,44,57
21:28:23,neutral,70,43,56
21:28:23,neutral,70,21,45
21:28:23,unknown,50,11,30
21:28:23,unknown,50,10,30
21:28:23,unknown,50,9,29
21:28:23,neutral,70,26,48
21:28:23,neutral,70,26,48
21:28:23,neutral,70,50,60
21:28:23,neutral,70,73,71
21:28:23,neutral,70,73,71
21:28:24,neutral,70,68,69
21:28:24,neutral,70,68,69
21:28:24,neutral,70,69,69
21:28:24,neutral,70,70,70
21:28:24,neutral,70,70,70
21:28:24,neutral,70,67,68
21:28:24,happy,100,69,84
21:28:24,neutral,70,50,60
21:28:24,neutral,70,49,59
21:28:24,neutral,70,31,50
21:28:24,neutral,70,28,49
